iso3,year,Predicted_In_Need,Predicted_Requirements,Predicted_Funding,iso3_original,Funding_Gap,Risk_Flag
SXM,2026,6432454.0,532057600.0,0.0,ATG | MAF | BHS | AIA | TCA | VGB | BLM | KNA | SXM,532057600.0,True
SXM,2027,6432454.0,532057600.0,0.0,ATG | MAF | BHS | AIA | TCA | VGB | BLM | KNA | SXM,532057600.0,True
SXM,2028,6432454.0,532057600.0,0.0,ATG | MAF | BHS | AIA | TCA | VGB | BLM | KNA | SXM,532057600.0,True
SXM,2029,6432454.0,532057600.0,0.0,ATG | MAF | BHS | AIA | TCA | VGB | BLM | KNA | SXM,532057600.0,True
SXM,2030,6432454.0,532057600.0,0.0,ATG | MAF | BHS | AIA | TCA | VGB | BLM | KNA | SXM,532057600.0,True
BDI,2026,6432454.0,532057600.0,158684061.119571,BDI,373373538.880429,True
BDI,2027,6432454.0,532057600.0,161543830.228196,BDI,370513769.771804,True
BDI,2028,6432454.0,532057600.0,164403599.336821,BDI,367654000.66317904,True
BDI,2029,6432454.0,532057600.0,167271203.4293052,BDI,364786396.5706948,True
BDI,2030,6432454.0,532057600.0,170130972.5379302,BDI,361926627.4620698,True
BEN,2026,6432454.0,532057600.0,0.0,BEN,532057600.0,True
BEN,2027,6432454.0,532057600.0,0.0,BEN,532057600.0,True
BEN,2028,6432454.0,532057600.0,0.0,BEN,532057600.0,True
BEN,2029,6432454.0,532057600.0,0.0,BEN,532057600.0,True
BEN,2030,6432454.0,532057600.0,0.0,BEN,532057600.0,True
BFA,2026,5915233.0,661762050.0,816264421.2023975,BFA,-154502373.20239747,False
BFA,2027,5915233.0,661762050.0,870386163.3022289,BFA,-208624115.30222893,False
BFA,2028,5915233.0,661762050.0,924507905.4020605,BFA,-262745857.4020605,False
BFA,2029,5915233.0,661762050.0,978777926.247371,BFA,-317015878.24737096,False
BFA,2030,5915233.0,661762050.0,1032899668.3472027,BFA,-371137620.34720266,False
BGD,2026,6432454.0,532057600.0,1098799995.550568,BGD,-566742395.5505681,False
BGD,2027,6432454.0,532057600.0,1137426519.9125304,BGD,-605368919.9125304,False
BGD,2028,6432454.0,532057600.0,1176053044.2744927,BGD,-643995444.2744927,False
BGD,2029,6432454.0,532057600.0,1214785394.7305975,BGD,-682727794.7305975,False
BGD,2030,6432454.0,532057600.0,1253411919.0925598,BGD,-721354319.0925598,False
BOL,2026,6432454.0,532057600.0,77462329.97798108,BOL,454595270.0220189,True
BOL,2027,6432454.0,532057600.0,80878216.84754032,BOL,451179383.1524597,True
BOL,2028,6432454.0,532057600.0,84294103.71709958,BOL,447763496.28290045,True
BOL,2029,6432454.0,532057600.0,87719349.18082201,BOL,444338250.819178,True
BOL,2030,6432454.0,532057600.0,91135236.05038127,BOL,440922363.9496187,True
PER,2026,6432454.0,532057600.0,0.0,BRA | ABW | MEX | CRI | GUY | ECU | URY | CHL | CUW | BOL | PAN | PRY | TTO | ARG | COL | DOM | PER,532057600.0,True
PER,2027,6432454.0,532057600.0,0.0,BRA | ABW | MEX | CRI | GUY | ECU | URY | CHL | CUW | BOL | PAN | PRY | TTO | ARG | COL | DOM | PER,532057600.0,True
PER,2028,6432454.0,532057600.0,0.0,BRA | ABW | MEX | CRI | GUY | ECU | URY | CHL | CUW | BOL | PAN | PRY | TTO | ARG | COL | DOM | PER,532057600.0,True
PER,2029,6432454.0,532057600.0,0.0,BRA | ABW | MEX | CRI | GUY | ECU | URY | CHL | CUW | BOL | PAN | PRY | TTO | ARG | COL | DOM | PER,532057600.0,True
PER,2030,6432454.0,532057600.0,0.0,BRA | ABW | MEX | CRI | GUY | ECU | URY | CHL | CUW | BOL | PAN | PRY | TTO | ARG | COL | DOM | PER,532057600.0,True
MEX,2026,6432454.0,532057600.0,0.0,BRA | GUY | CRI | URY | PRY | COL | PER | ECU | PAN | CUW | ARG | ABW | BOL | CHL | DOM | TTO | MEX,532057600.0,True
MEX,2027,6432454.0,532057600.0,0.0,BRA | GUY | CRI | URY | PRY | COL | PER | ECU | PAN | CUW | ARG | ABW | BOL | CHL | DOM | TTO | MEX,532057600.0,True
