iso3,year,Predicted_In_Need,Predicted_Requirements,Predicted_Funding,iso3_original,Funding_Gap,Risk_Flag
GNB,2030,6432454.0,532057600.0,0.0,LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | GMB | MRT | SLE | BEN | GNB,532057600.0,True
GNB,2029,6432454.0,532057600.0,0.0,LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | GMB | MRT | SLE | BEN | GNB,532057600.0,True
GNB,2028,6432454.0,532057600.0,0.0,LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | GMB | MRT | SLE | BEN | GNB,532057600.0,True
GNB,2027,6432454.0,532057600.0,0.0,LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | GMB | MRT | SLE | BEN | GNB,532057600.0,True
GNB,2026,6432454.0,532057600.0,0.0,LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | GMB | MRT | SLE | BEN | GNB,532057600.0,True
KGZ,2027,6432454.0,532057600.0,0.0,KGZ,532057600.0,True
SLE,2029,6432454.0,532057600.0,0.0,LBR | GIN | SLE,532057600.0,True
SLE,2028,6432454.0,532057600.0,0.0,LBR | GIN | SLE,532057600.0,True
ETH,2027,6432454.0,532057600.0,0.0,LBY | UGA | EGY | ETH,532057600.0,True
ETH,2028,6432454.0,532057600.0,0.0,LBY | UGA | EGY | ETH,532057600.0,True
BDI,2028,6432454.0,532057600.0,0.0,TZA | RWA | BDI,532057600.0,True
SLE,2027,6432454.0,532057600.0,0.0,LBR | GIN | SLE,532057600.0,True
ETH,2029,6432454.0,532057600.0,0.0,TZA | KEN | DJI | SOM | ETH,532057600.0,True
ETH,2028,6432454.0,532057600.0,0.0,TZA | KEN | DJI | SOM | ETH,532057600.0,True
ETH,2027,6432454.0,532057600.0,0.0,TZA | KEN | DJI | SOM | ETH,532057600.0,True
ETH,2026,6432454.0,532057600.0,0.0,TZA | KEN | DJI | SOM | ETH,532057600.0,True
TUR,2030,6432454.0,532057600.0,0.0,TUR,532057600.0,True
TUR,2029,6432454.0,532057600.0,0.0,TUR,532057600.0,True
KGZ,2028,6432454.0,532057600.0,0.0,KGZ,532057600.0,True
KGZ,2026,6432454.0,532057600.0,0.0,KGZ,532057600.0,True
SLE,2030,6432454.0,532057600.0,0.0,LBR | GIN | SLE,532057600.0,True
JOR,2030,6432454.0,532057600.0,0.0,JOR,532057600.0,True
JOR,2029,6432454.0,532057600.0,0.0,JOR,532057600.0,True
JOR,2028,6432454.0,532057600.0,0.0,JOR,532057600.0,True
JOR,2027,6432454.0,532057600.0,0.0,JOR,532057600.0,True
JOR,2026,6432454.0,532057600.0,0.0,JOR,532057600.0,True
LBN,2030,6432454.0,532057600.0,0.0,IRQ | TUR | EGY | JOR | LBN,532057600.0,True
LBN,2029,6432454.0,532057600.0,0.0,IRQ | TUR | EGY | JOR | LBN,532057600.0,True
